study_id,year,citations,category,duplicate,conducted 30/01/2025,,,
PRISMA_2009_statement_ BMJ,2025,491,original,no,,,,
PRISMA_2009_statement_ BMJ,2024,11736,original,no,,,,
PRISMA_2009_statement_ BMJ,2023,13593,original,no,,,,
PRISMA_2009_statement_ BMJ,2022,17671,original,no,,,,
PRISMA_2009_statement_ BMJ,2021,22184,original,no,,,,
PRISMA_2009_statement_ BMJ,2020,18767,original,no,,,,
PRISMA_2009_statement_ BMJ,2019,13007,original,no,,,,
PRISMA_2009_statement_ BMJ,2018,9154,original,no,,,,
PRISMA_2009_statement_ BMJ,2017,7566,original,no,,,,
PRISMA_2009_statement_ BMJ,2016,5968,original,no,,,,
PRISMA_2009_statement_ BMJ,2015,4280,original,no,,,,
PRISMA_2009_statement_ BMJ,2014,3010,original,no,,,,
PRISMA_2009_statement_ BMJ,2013,2062,original,no,,,,
PRISMA_2009_statement_ BMJ,2012,1239,original,no,,,,
PRISMA_2009_statement_ BMJ,2011,675,original,no,,,,
PRISMA_2009_statement_ BMJ,2010,229,original,no,,,,
PRISMA_2009_statement_ BMJ,2009,19,original,no,,,,
PRISMA_2009_elaboration_ BMJ,2025,491,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2024,11736,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2023,13593,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2022,17671,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2021,22184,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2020,18767,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2019,13007,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2018,9154,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2017,7566,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2016,5968,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2015,4280,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2014,3010,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2013,2062,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2012,1239,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2011,675,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2010,229,original,yes,,,,
PRISMA_2009_elaboration_ BMJ,2009,19,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2025,491,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2024,11736,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2023,13593,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2022,17671,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2021,22184,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2020,18767,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2019,13007,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2018,9154,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2017,7566,original,yes,,,,
PRISMA_2009_statement_ Annals.of.Internal.Medicine,2016,5968,original,yes,,,,
