PRISMA_id,guideline_adherence,guideline_adherence_name,delphi_feedback,delphi_feedback_comment,preregistration,preregistration_link,consensus_meeting,consensus_meeting_comment,consensus_meeting_feedback ,consensus_meeting _feedback_comment,external_feedback,external_feedback_comment,external_feedback_result,external_feedback _comment,conflict_interest_statement,conflict_interest_declare,conflict_interest_type,limitation_acknowledged,limitation_acknowledged_comment,unique_items,unique_items_comment,open_access,
PRISMA_2009,no,NA,no,NA,no,NA,yes,"A three-day meeting was held in Ottawa, Canada, in June 2005 with 29 participants, including review authors, methodologists, clinicians, medical editors, and a consumer. The objective of the Ottawa meeting was to revise and expand the QUOROM checklist and flow diagram as needed.",no,NA,no,NA,NA,NA,yes,no,NA,no,NA,NA,original document,yes,
PRISMA_2020,yes,EQUATOR,yes,Had series of meetings and surveys,yes,https://osf.io/xfg5n/resources,yes,"Discussions at the September 2018 meeting led to broad agreement about the content and wording for some items, while suggestions for further consideration were generated for the majority of items.",yes,Supplement 6. Summary of September 2018 PRISMA meeting discussion and decisions made ,yes,Systematic review methodologists and journal editors were invited to complete the online survey (110 of 220 invited responded).,yes,Supplement 3. Most common survey responses to questions about PRISMA 2009 checklist items ,yes,yes,editorial;financial; job role,yes,discussion of development document,yes,Box 2: Noteworthy changes to the PRISMA 2009 statement,yes,
PRISMA_abstract,no,NA ,yes,"In preparation for a consensus meeting, we used a modified Delphi consensus survey method to select and reduce the number of possible checklist items.",no,NA,yes,"We established a steering committee (EMB, PPG, SH, DGA). In
collaboration with the steering group of the PRISMA Statement [11],
we used the Statement to inform our selection of potential items for
the checklist of essential items that authors should consider when
reporting the primary results of a systematic review in a journal or
conference abstract",no,NA,no,NA,NA,NA,yes,yes,financial ,no,NA,NA,original document,yes,
PRISMA_acupuncture,yes,EQUATOR,yes,"The selection of items consisted of three steps: 1) collecting and framing the initial items, 2) scoring and selecting the items by experts through Delphi consensus; and 3) discussing and approving the checklist in a face-to-face meeting.",yes,http://www.equator-network.org/library/reporting-guidelines-under-development/#91,yes,3) discussing and approving the checklist in a face-to-face meeting.,yes,provides summarised feedback from consenus meetings,yes,"We then assembled a multidisciplinary group of experts based on their specialties and experience, and balanced the numbers of clinicians, researchers and healthcare providers when forming the panel.",no,provides survey questions but not survey results,yes,yes,financial ,no,NA,yes,provides a star beside modified or additional items,yes,
PRISMA_CHM,yes,EQUATOR,yes,"Finally, the checklist including 25 items and subitems was con?rmed for the Delphi exercise.",yes,https://www.equator-network.org/reporting-guidelines/prisma-chinese-herbal-medicines-2020/,yes,"Face-to-face consensus meeting: A total of eleven experts, including senior TCMpractitioners, clinicians in Chinese and Western medicine, methodologists of reportingguidelines and systematic reviews, epidemiologists, and editors attended a one-dayface-to-face meeting in Lanzhou, China, on 19 July 2017.",no, NA,yes,"three rounds of Delphi survey: An invitation letter, including a detailed explanation ofthe objectives and work?ow of the Delphi process, and a consent form were sent to theexpert.",no,NA,no,NA,NA,no,NA,yes,Table 1 ,yes,
PRISMA_complex,yes,EQUATOR,yes,2.2. Delphi process,yes,https://www.equator-network.org/library/reporting-guidelines-under-development/#56,yes,Figure 1 ,no,NA,yes,2.2. Delphi Process,yes,Appendix D,no,NA,NA,no,NA,yes,Table 1 ,no,
PRISMA_COSMIN,yes,EQUATOR,yes,"Briefly, the project included an environmental scan of the literature, a Delphi study, and a workgroup meeting to arrive at a consensus-based draft checklist of reporting items.",yes,"https://www.equator-network.org/library/reporting-guidelines-under-development/reporting-guidelines-under-development-for-systematic-reviews/#PRISMACOSMIN; Elsman, E.B., Baba, A., Butcher, N.J., Offringa, M., Moher, D., Terwee, C.B., Mokkink, L.B., Smith, M., & Tricco, A., PRISMA-COSMIN. 2023, OSF.",yes,"Supplementary file 4. Changes in the reporting items over the Delphi rounds and workgroup meeting, and content comparisons to PRISMA 2020",yes,Additional file one in the development document: 10.1186/s40900-024-00563-5,yes,Delphi study figure 1,yes,"Supplementary file 4. Changes in the reporting items over the Delphi rounds and workgroup meeting, and content comparisons to PRISMA 2020",yes,yes,editorial; job role; editorial ,no,NA,no,NA,no,check open access
PRISMA_DTA,yes,EQUATOR,yes,Delphi process section,no,NA,yes,Consensus meeting section,yes,etable2 - provides excluded items through the delphi,no,all delphi participants are authors as far as I am aware so they did not get external feedack,NA,NA,yes,no,NA,yes,"Development of the PRISMA diagnostic test accuracy statement was guided by evidence-based principles when possible; however, when evidence was lacking, we relied on expert opinion. The PRISMA diagnostic test accuracy checklist was designed for all types of diagnostic test accuracy research; some specialties (eg, imaging) may have important items unique to their specialty (eg, interobserver agreement) that were not included in the guideline but should be reported. In addition, as the body of evidence in diagnostic test accuracy research grows, the PRISMA diagnostic test accuracy guideline will need to be updated to reflect these advances.",yes,Table 2 ,yes,JAMA paper is not open 
PRISMA_DTA_abstract,no,NA,yes,Delphi process section,no,NA,yes,During the consensus meeting to develop the PRISMA-DTA checklist,no,etable2 does not include excluded items of abstract,no,all delphi participants are authors as far as I am aware so they did not get external feedack,NA,NA,yes,no,NA,no,limitations of the abstract checklist are not memtioned in the main text,yes,Table 3 ,yes,states free which I assume means open access
PRISMA_ecoevo,no,NA,no,NA,yes,https://osf.io/gb5vx/,yes,"From the initial draft of PRISMA-EcoEvo, the items were modified with iterative feedback from S.N., M.L., M.D.J., J.K., D.W.A.N., T.H.P., J.G., and G.S. ",no,NA,no,NA,NA,does not evaluate the final set of reporting items,yes,yes,financial ,no,NA,no,NA,yes,
PRISMA_equity,yes,https://doi.org/10.1371/journal.pmed.1000217,no,NA,no,NA,yes,"A two-day consensus meeting was held on February 9–10, 2012 at the Rockefeller Foundation Sfondrata conference centre in Bellagio, Italy with 23 participants (Table S1). Its purpose was to discuss and reach consensus on each proposed item to be included in the PRISMA-E 2012 guidance",no,NA,yes,conducted an online survey,yes,NA,yes,yes,editorial; financial,yes,"The main limitations of our approach are that some terms are not widely accepted such as “logic model” and “analytic framework.” There is no universally accepted definition of “health equity.” We chose to use Whitehead's widely used definition as it differentiates simple differences in outcomes from those that are inequitable due to unfairness [4]. We acknowledge that our tool is limited to improving the reporting of reviews already examining equity, rather than improving equity research or indeed health equity itself.",yes,Table 1 ,yes,
PRISMA_harms,yes,EQUATOR,yes,"After the development of a draft list of potential items, a modified Delphi process was initiated to obtain feedback from a broad spectrum of stakeholders. ",no,NA,yes,"An in-person two day consensus meeting was held in Banff, Canada, in May 2012.",no,NA,yes,"We surveyed 324 people through an online survey consisting of three rounds of participant feedback. Delphi participants were selected on the basis of their expertise in systematic reviews in general, and in particular reviews of adverse events.",no,NA,yes,no,NA,no,NA,yes,Table 2 ,yes,
