key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,title2
rayyan-108684001,Prevalence of Temporomandibular Disorders in Orthognathic Surgery patients: A systematic review conducted according to PRISMA guidelines and the Cochrane Handbook for Systematic Reviews of Interventions,2023,1,1,,0305182X,50,10,,Abdul N.S. and Minervini G.,NA,,John Wiley and Sons Inc,,"Background: Orthognathic surgery is done to treat a variety of dentofacial abnormalities, but a wide gap still remains on how it can result in temporomandibular joint dysfunction (TMD). The primary goal of this review was to assess the effects of various orthognathic surgical techniques on the emergence or exacerbation of TMJ dysfunction. Methods: A comprehensive search was conducted across several databases using Boolean operators and MeSH keywords related to temporomandibular joint disorders (TMDs) and orthognathic surgical interventions, with no limitation on the year of publication. Two independent reviewers screened the identified studies based on predetermined inclusion and exclusion criteria, followed by a risk of bias assessment using a standardised tool. Results: Five articles were considered for inclusion in this review. A greater number of females opted for surgical options than their male cohorts. Three studies were of prospective design, 1 of retrospective and 1 of observational type. Mobility on lateral excursion, tenderness on palpation, arthralgia and popping sounds were the TMD characteristics that showed significant differences. Overall, orthognathic surgical intervention did not show an increase in TMD signs and symptoms as compared to nonsurgical counterparts. Conclusion: Though orthognathic surgery reported greater cases of some TMD symptoms and signs as compared to the nonsurgical cohorts in four studies, the conclusive evidence is debatable. Further studies are recommended with a longer follow-up period and greater sample size to determine the impact of orthognathic surgery on TMJ. © 2023 The Authors. Journal of Oral Rehabilitation published by John Wiley & Sons Ltd.",,10.1111/joor.13534,,37309105,NA,prevalence of temporomandibular disorders in orthognathic surgery patients a systematic review conducted according to prisma guidelines and the cochrane handbook for systematic reviews of interventions
rayyan-108684002,Art therapy as an adjuvant treatment for schizophrenia: A protocol for an updated systematic review and subgroup meta-analysis of randomized clinical trials following the PRISMA guidelines,2022,1,1,,257974,101,40,,Luo X. and Zhang Z. and Zheng Z. and Ye Q. and Wang J. and Wu Q. and Huang G.,NA,,Lippincott Williams and Wilkins,,"Background: The efficacy of art therapy as an adjuvant treatment for schizophrenia remains inconclusive, and variation in the effects of art therapy on schizophrenia by the type of schizophrenia, severity of schizophrenia, type of art therapy, follow-up duration, or different populations has never been systematically assessed. The objective of this study is to systematically evaluate the effects of art therapy on schizophrenia and to determine whether there are some potential influencing factors affecting the effects of art therapy. Methods: Seven online databases will be searched from their inception until June 30, 2022. All the relevant randomized clinical trials (RCTs) comparing art therapy plus standardized treatment versus standardized treatment alone for schizophrenia will be selected and assessed for inclusion. The Cochrane risk-of-bias tool will be used to evaluate the methodological quality of the included RCTs. Review Manager 5.4 will be used to analyze all the data obtained. Mental health symptoms are defined as the primary outcome, and the secondary outcomes include the Global Assessment of Functioning score, quality of life, functional remission, and the level of self-esteem. Subgroup analyses will be performed based on the type of schizophrenia, severity of schizophrenia, type of art therapy, follow-up duration, or different populations. Results: The results will be published in a peer-reviewed journal. Conclusions: This updated systematic review and subgroup meta-analysis will evaluate the effects of art therapy as adjunctive treatment to standardized treatment in patients with schizophrenia and determine whether there are some potential confounding variables affecting the effects of art therapy on the outcomes of schizophrenia patients, thus strengthening the evidence base for the clinical application of this combination therapy for schizophrenia.  © 2022 the Author(s). Published by Wolters Kluwer Health, Inc.",,10.1097/MD.0000000000030935,,36221342,NA,art therapy as an adjuvant treatment for schizophrenia a protocol for an updated systematic review and subgroup metaanalysis of randomized clinical trials following the prisma guidelines
rayyan-108684003,A Role of Artificial Intelligence in Online Reputation Management: A Systematic Literature Review Using Prisma Methodology,2024,1,1,,23673370,1083,NA,,Moukdad K. and Juidette S.,NA,,Springer Science and Business Media Deutschland GmbH,,"Our times have entered the digital era. In this era, the digital reputation of a company is one of the most important factors for its success. Today, consumers are more often referring to online reviews and the information they can find on social networks before making a purchase decision. With this background, the possibilities that artificial intelligence can offer as an innovative solution to monitor and improve digital reputation are highly appreciated. Thus, in this paper, we will discuss how artificial intelligence plays a role in managing a company’s digital reputation and what benefits it may contribute. In the age of the digital revolution, online image and reputation have evolved into an asset that has no alternative for both individuals and companies. Every minute, millions of people are involved in online interactions, and those actions leave a trace that could greatly affect how people perceive them. In this context, using AI applications to manage and control reputations is indeed quite new and completely revolutionizes the concept of what we traditionally understood as reputation management in the digital space. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.",,10.1007/978-3-031-67431-0_48,,NA,NA,a role of artificial intelligence in online reputation management a systematic literature review using prisma methodology
rayyan-108684004,"Correction: Do reporting guidelines have an impact? Empirical assessment of changes in reporting before and after the PRISMA extension statement for network meta-analysis (Systematic Reviews, (2021), 10, 1, (246), 10.1186/s13643-021-01780-9)",2022,1,1,,20464053,11,1,,Veroniki A.A. and Tsokani S. and Zevgiti S. and Pagkalidou I. and Kontouli K.-M. and Ambarcioglu P. and Pandis N. and Lunny C. and Nikolakopoulou A. and Papakonstantinou T. and Chaimani A. and Straus S.E. and Hutton B. and Tricco A.C. and Mavridis D. and Salanti G.,NA,,BioMed Central Ltd,,"Following publication of the original article [1], the authors identified an error in Fig. 3. The correct figure is given below. © The Author(s) 2022.",,10.1186/s13643-022-01988-3,,35658953,NA,correction do reporting guidelines have an impact empirical assessment of changes in reporting before and after the prisma extension statement for network metaanalysis systematic reviews 2021 10 1 246 101186s13643021017809
rayyan-108684005,Clinically Important Deterioration (CID) and Ageing in COPD: A Systematic Review and Meta-Regression Analysis According to PRISMA Statement,2023,1,1,,11769106,18,NA,,Manzetti G.M. and Ora J. and Sepiacci A. and Cazzola M. and Rogliani P. and Calzetta L.,NA,,Dove Medical Press Ltd,,"Purpose: Clinically important deterioration (CID) is a composite endpoint developed to quantify the impact of pharmacological treatment in clinical trials for Chronic Obstructive Pulmonary Disease (COPD), also showing a prognostic value. CID is defined as any of the following condition: forced expiratory volume in 1 s decrease ≥100 mL from baseline, and/or St. George’s Respiratory Questionnaire total score increase ≥4-unit from baseline, and/or the occurrence of a moderate-to-severe exacerbation of COPD. Although most COPD patients experience a clinical worsening as they get older, to date, no specific studies assessed the correlation between ageing and CID in COPD. Therefore, the aim of this study was to investigate the impact of ageing on CID in COPD patients. Patients and Methods: Data obtained from 55219 COPD patients were extracted from 17 papers, mostly post-hoc analyses. A pairwise meta-analysis and a meta-regression analysis were performed according to PRISMA-P guidelines to quantify the impact of pharmacological therapy on CID and to determine whether ageing might modulate the risk of CID in COPD patients. Results: Inhaled treatments resulted generally effective in reducing the risk of CID in COPD (relative risk: 0.81, 95% confidence interval 0.79–0.84; P < 0.001). The meta-regression analysis indicated a trend toward significance (P = 0.063) in the linear relationship between age and the risk of CID. Of note, age significantly (P < 0.05) increased the risk of CID when associated with lower post-bronchodilator FEV1. These results were not affected by a significant risk of bias. Conclusion: This quantitative synthesis suggests that inhaled therapy is effective in reducing the risk of CID in COPD, although such a protective effect may be affected in older patients with impaired lung function. Further studies specifically designed on CID in COPD are needed to confirm these results. © 2023 Manzetti et al. This work is published and licensed by Dove Medical Press Limited. The full terms of this license are available at https://www.dovepress.com/terms. php and incorporate the Creative Commons Attribution – Non Commercial (unported, v3.0) License (http://creativecommons.org/licenses/by-nc/3.0/). By accessing the work you hereby accept the Terms. Non-commercial uses of the work are permitted without any further permission from Dove Medical Press Limited, provided the work is properly attributed. For permission for commercial use of this work, please see paragraphs 4.2 and 5 of our Terms (https://www.dovepress.com/terms.php).",,10.2147/COPD.S396945,,37841747,NA,clinically important deterioration cid and ageing in copd a systematic review and metaregression analysis according to prisma statement
rayyan-108684006,Differences in the risk of immune-related pneumonitis between PD-1 and PD-L1 inhibitors: a meta-analysis according to the new mirror-principle and PRISMA guidelines,2024,1,1,,3407004,73,9,,Tian Y. and Yin Z. and Zhang C. and Li Z. and Wang Y. and Zhang K. and Chen F. and Dang Q.,NA,,Springer Science and Business Media Deutschland GmbH,,"Purpose: To compare the risk of immune-associated pneumonitis between PD-1 and PD-L1 inhibitors, the meta-analysis was designed. Method: The difference in risk of immune-associated pneumonitis between PD-1 and PD-L1 inhibitors was assessed by two different meta-analysis methods, the Mirror-pairing and the PRISMA guidelines. Results: A total of eighty-eight reports were used for meta-analysis, while thirty-two studies were used for the Mirror-pairing. Both PD-1 and PD-L1 inhibitors (used alone or combined with chemotherapy) increased the risk of developing immune-related pneumonitis (P < 0.00001; P < 0.00001). Based on indirect analyses results (subgroup analyses), the risk of PD-L1-induced pneumonitis was weaker than that of PD-1 inhibitors when the control group was chemotherapy (OR = 3.33 vs. 5.43) or placebo (OR = 2.53 vs. 3.19), while no obvious significant differences were found (P = 0.17; P = 0.53). For the Mirror-pairing-based meta-analysis, the risk of PD-1-induced pneumonitis was significantly higher than that of PD-L1 inhibitors (OR = 1.46, 95%CI [1.08, 1.98], I2 = 0%, Z = 2.47 (P = 0.01)). However, this difference was not significant, when they were combined with chemotherapy (OR = 1.05, 95%CI [0.68, 1.60], I2 = 38%, Z = 0.21 (P = 0.84)). Conclusion: Both PD-1 and PD-L1 inhibitors increased the risk of immune-related pneumonitis, while the risk of PD-1-induced pneumonitis was significantly higher than that of PD-L1 inhibitors. © The Author(s) 2024.",,10.1007/s00262-024-03736-z,,38953977,NA,differences in the risk of immunerelated pneumonitis between pd1 and pdl1 inhibitors a metaanalysis according to the new mirrorprinciple and prisma guidelines
rayyan-108684007,Prevalence of Bruxism in alcohol abusers: a systematic review conducted according to PRISMA guidelines and the cochrane handbook for systematic reviews of interventions,2024,1,1,,14726831,24,1,,Ronsivalle V. and Marrapodi M.M. and Siurkel Y. and Cicciù M. and Minervini G.,NA,,BioMed Central Ltd,,"Background: Bruxism, a common oral parafunctional behavior characterized by the grinding or clenching of teeth, is a multifactorial condition with potentially detrimental effects on oral health and overall well-being. In recent years, there has been growing interest in understanding the relationship between bruxism and alcohol abuse, as both are prevalent issues that may share underlying factors and exacerbate each other. This systematic review, following the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement, aims to evaluate the frequency of bruxism among individuals with alcohol abuse. Methods: A comprehensive search of electronic databases, including PubMed, Lilacs, Scopus and Web of Science, will be conducted to identify relevant studies published up to the knowledge cutoff date in January 2023. The search strategy will include keywords related to bruxism, alcohol abuse, and their synonyms. Inclusion criteria will encompass original research studies, such as observational, cross-sectional, cohort, and case-control studies, as well as clinical trials, that examine the relationship between bruxism and alcohol abuse. Two independent reviewers will perform the study selection, data extraction, and quality assessment, with discrepancies resolved by consensus. Results: The systematic review will present a summary of the identified studies, including the study design, characteristics of the study populations, and key findings related to the association between bruxism and alcohol abuse. The potential mechanisms underlying this relationship will also be explored. Subgroup analyses and the quality of evidence will be assessed. Finally, the implications of this association for clinical practice and further research will be discussed. Conclusions: This systematic review will contribute to a better understanding of the interplay between bruxism and alcohol abuse, shedding light on potential risk factors, mechanisms, and clinical implications. The findings may have significant implications for the prevention, management, and treatment of bruxism, particularly in individuals with a history of alcohol abuse. © 2024, The Author(s).",,10.1186/s12903-024-03862-1,,38238683,NA,prevalence of bruxism in alcohol abusers a systematic review conducted according to prisma guidelines and the cochrane handbook for systematic reviews of interventions
rayyan-108684008,The efficacy of Yiqi Huoxue therapy for chronic heart failure: A meta-analysis in accordance with PRISMA guideline,2022,1,1,,257974,101,34,,Zhang M. and Sun M.-Y. and Yin H.-J. and Wu Z.-Z. and Jin Y. and Min M. and Xu F.-Q.,NA,,Lippincott Williams and Wilkins,,"Background: Chronic heart failure (CHF) is the final destination of most cardiovascular diseases and the most important cause of death. The main clinical manifestations were pulmonary congestion and decreased cardiac output. The purpose of this systematic review is to evaluate the effectiveness of Yiqi Huoxue therapy on CHF. Methods: Seven electronic databases were searched to identify randomized controlled trials of Yiqi Huoxue (YQHX) method for CHF until April 30, 2020. The quality assessment of the included trials was performed by employing the Cochrane Risk of Bias tool and Jadad scale. Results: Nineteen randomized controlled trials were included in our review. Most of the included trials were considered as low quality. The aggregated results suggested that experimental group with YQHX therapy got better effect in increasing overall response rate (risk ratio, RR = 1.21, 95% confidence interval, CI 1.15-1.27), traditional Chinese medicine (TCM) syndrome response rate (RR = 1.26, 95% CI 1.17-1.36), 6-minute walk test (RR = 2.14, 95% CI 1.05-3.22), left ventricular ejection fraction (RR = 0.97, 95% CI 0.60-1.34), and stroke volume (standardized mean difference, SMD = 0.94, 95% CI 0.23-1.56), and in lowering down the TCM syndrome scores (SMD = -0.78, 95% CI -0.91 to -0.64), Minnesota Living with Heart Failure questionnaire (SMD = -1.01, 95% CI -1.56 to -0.45), 6-month readmission rate (RR = 0.50, 95% CI 0.28-0.89), B-type natriuretic peptide (SMD = -0.89, 95% CI -1.52 to -0.25), NT-proBNP (SMD = -2.07, 95% CI -3.34 to -0.08), and C-reactive protein (SMD = -2.04, 95% CI -4.12 to -0.67) as compared to using conventional Western medicine alone. There were no significant differences found in left ventricular end diastolic diameter and E/E′ between experimental groups and control groups. Moreover, the included sample capacity is small and the trails are all in Chinese. Quality of the evidence for outcomes were ""low"" and ""very low"" according to the GRADE assessment. Conclusion: YQHX is a valid complementary and alternative therapy in the management of CHF, especially in improving overall response rate, TCM syndrome response rate, 6-minute walk test, left ventricular ejection fraction, and stroke volume and in decreasing TCM syndrome scores, Minnesota Living with Heart Failure questionnaire, 6-month readmission rate, B-type natriuretic peptide, NT-proBNP, and C-reactive protein levels. Hence, YQHX is a relatively effective and safe therapy for CHF patients, which can be popularized and applied in the clinic. More long-term follow-up studies are still needed to substantiate and confirm the current findings. © 2022 Lippincott Williams and Wilkins. All rights reserved.",,10.1097/MD.0000000000030082,,36042620,NA,the efficacy of yiqi huoxue therapy for chronic heart failure a metaanalysis in accordance with prisma guideline
rayyan-108684009,Adherence to PRISMA 2020 reporting guidelines and scope of systematic reviews published in nursing: A cross-sectional analysis,2024,1,1,,15276546,56,4,,Carlo Torres G. and Ledbetter L. and Cantrell S. and Alomo A.R.L. and Blodgett T.J. and Bongar M.V. and Hatoum S. and Hendren S. and Loa R. and Montaña S. and Francis Sumile E. and Turner K.M. and Relf M.V.,NA,,John Wiley and Sons Inc,,"Introduction: Systematic reviews are considered the highest level of evidence that can help guide evidence-informed decisions in nursing practice, education, and even health policy. Systematic review publications have increased from a sporadic few in 1980s to more than 10,000 systematic reviews published every year and around 30,000 registered in prospective registries. Methods: A cross-sectional design and a variety of data sources were triangulated to identify the journals from which systematic reviews would be evaluated for adherence to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 reporting guidelines and scope. Specifically, this study used the PRISMA 2020 reporting guidelines to assess the reporting of the introduction, methods, information sources and search strategy, study selection process, quality/bias assessments, and results and discussion aspects of the included systematic reviews. Results: Upon review of the 215 systematic reviews published in 10 top-tier journals in the field of nursing in 2019 and 2020, this study identified several opportunities to improve the reporting of systematic reviews in the context of the 2020 PRISMA statement. Areas of priority for reporting include the following key areas: (1) information sources, (2) search strategies, (3) study selection process, (4) bias reporting, (5) explicit discussion of the implications to policy, and lastly, the need for (6) prospective protocol registration. Discussion: The use of the PRISMA 2020 guidelines by authors, peer reviewers, and editors can help to ensure the transparent and detailed reporting of systematic reviews published in the nursing literature. Clinical Relevance: Systematic reviews are considered strong research evidence that can guide evidence-based practice and even clinical decision-making. This paper addresses some common methodological and process issues among systematic reviews that can guide clinicians and practitioners to be more critical in appraising research evidence that can shape nursing practice. © 2024 Sigma Theta Tau International.",,10.1111/jnu.12969,,38553883,NA,adherence to prisma 2020 reporting guidelines and scope of systematic reviews published in nursing a crosssectional analysis
rayyan-108684010,Quality Reporting of Systematic Review and Meta-Analysis According to PRISMA 2020 Guidelines: Results from Recently Published Papers in the Korean Journal of Radiology,2022,1,1,,12296929,23,3,,Park H.Y. and Suh C.H. and Woo S. and Kim P.H. and Kim K.W.,NA,,Korean Radiological Society,,"Objective: To evaluate the completeness of the reporting of systematic reviews and meta-analyses published in a general radiology journal using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) 2020 guidelines. Materials and Methods: Twenty-four articles (systematic review and meta-analysis, n = 18; systematic review only, n = 6) published between August 2009 and September 2021 in the Korean Journal of Radiology were analyzed. Completeness of the reporting of main texts and abstracts were evaluated using the PRISMA 2020 statement. For each item in the statement, the proportion of studies that met the guidelines’ recommendation was calculated and items that were satisfied by fewer than 80% of the studies were identified. The review process was conducted by two independent reviewers. Results: Of the 42 items (including sub-items) in the PRISMA 2020 statement for main text, 24 were satisfied by fewer than 80% of the included articles. The 24 items were grouped into eight domains: 1) assessment of the eligibility of potential articles, 2) assessment of the risk of bias, 3) synthesis of results, 4) additional analysis of study heterogeneity, 5) assessment of non-reporting bias, 6) assessment of the certainty of evidence, 7) provision of limitations of the study, and 8) additional information, such as protocol registration. Of the 12 items in the abstract checklists, eight were incorporated in fewer than 80% of the included publications. Conclusion: Several items included in the PRISMA 2020 checklist were overlooked in systematic review and meta-analysis articles published in the Korean Journal of Radiology. Based on these results, we suggest a double-check list for improving the quality of systematic reviews and meta-analyses. Authors and reviewers should familiarize themselves with the PRISMA 2020 statement and check whether the recommended items are fully satisfied prior to publication. © 2022 The Korean Society of Radiology.",,10.3348/kjr.2021.0808,,35213097,NA,quality reporting of systematic review and metaanalysis according to prisma 2020 guidelines results from recently published papers in the korean journal of radiology
