Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
74,"P Tugwell, D Tovey","PRISMA 2020",2021,"Journal of Clinical Epidemiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S089543562100130X","https://scholar.google.com/scholar?cites=2268540167823689558&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:37:00","HTML","","","",,,,,74,24.67,37,2,3,"A revision of the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) statement is an important event. The PRISMA 2020 statement has, like its predecessor (…","https://www.sciencedirect.com/science/article/pii/S089543562100130X","https://scholar.google.com/scholar?q=related:VgfWbUN5ex8J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
520,"R Sarkis-Onofre, F Catalá-López, E Aromataris…","How to properly use the PRISMA Statement",2021,"Systematic …","Springer","https://link.springer.com/article/10.1186/s13643-021-01671-z","https://scholar.google.com/scholar?cites=10680579056304166110&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:37:00","HTML","10.1186/s13643-021-01671-z","","",,,,,520,173.33,130,4,3,"… including the PRISMA checklist or the most appropriate PRISMA extension. Using the PRISMA … completed review report, and completing the PRISMA checklists are likely to let reviewers …","https://link.springer.com/article/10.1186/s13643-021-01671-z","https://scholar.google.com/scholar?q=related:3pR8RhAKOZQJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
1949,"ML Rethlefsen, S Kirtley, S Waffenschmidt, AP Ayala…","PRISMA-S: an extension to the PRISMA statement for reporting literature searches in systematic reviews",2021,"Systematic reviews","Springer","https://link.springer.com/article/10.1186/S13643-020-01542-Z","https://scholar.google.com/scholar?cites=8077882857217203497&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:37:00","HTML","10.1186/S13643-020-01542-Z","","",,,,,1949,649.67,390,5,3,"… After observing the high number of systematic reviews with poorly reported literature searches, we sought to create an extension to the PRISMA statement. Our aims were four-fold: …","https://link.springer.com/article/10.1186/S13643-020-01542-Z","https://scholar.google.com/scholar?q=related:KR2mAalnGnAJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
58,"S D'Amico, P Bodin, M Delpech, R Noteborn","Prisma",2012,"Distributed space missions …","Springer","https://link.springer.com/chapter/10.1007/978-1-4614-4541-8_21","https://scholar.google.com/scholar?cites=2422227093188669071&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:37:00","","10.1007/978-1-4614-4541-8_21","","",,,,,58,4.83,15,4,12,"PRISMA is a precursor mission for formation-flying and on-orbit-servicing critical technologies. It consists of two spacecraft launched clamped together in low Earth orbit and separated …","https://scholar.google.com/scholar?output=instlink&q=info:j27WLrV6nSEJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=11864667328645404604&oi=lle","https://scholar.google.com/scholar?q=related:j27WLrV6nSEJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
242,"…, J Tetzlaff, DG Altman, G Prisma","Ítems de referencia para publicar revisiones sistemáticas y metaanálisis: la Declaración PRISMA",2014,"Revista Española de …","dialnet.unirioja.es","https://dialnet.unirioja.es/descarga/articulo/4821653.pdf","https://scholar.google.com/scholar?cites=15760499599124093695&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-27 10:37:00","PDF","","","",,,,,242,24.20,61,4,10,"… la página web de PRISMA (http://www.prisma-statement.org/). … Declaración PRISMA e incluir la dirección web de PRISMA en … editoriales que consideren apoyar PRISMA y animar a los …","https://dialnet.unirioja.es/descarga/articulo/4821653.pdf","https://scholar.google.com/scholar?q=related:_1p6-OGKuNoJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
163,"MJ Page, D Moher, JE McKenzie","Introduction to PRISMA 2020 and implications for research synthesis methodologists",2022,"Research synthesis …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1535","https://scholar.google.com/scholar?cites=3026073662615334151&as_sdt=2005&sciodt=2007&hl=en",6,"2024-11-27 10:37:00","","10.1002/jrsm.1535","","",,,,,163,81.50,54,3,2,"… uptake and implementation of PRISMA 2020. Authors should find PRISMA 2020 most suitable … The PRISMA 2020 checklist retains all items in the PRISMA 2009 checklist. However, the …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/jrsm.1535","https://scholar.google.com/scholar?q=related:By1anPbF_ikJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
1025,"B Takkouche, G Norman","PRISMA statement",2011,"Epidemiology","journals.lww.com","https://journals.lww.com/epidem/fulltext/2011/01000/prisma_statement.23.aspx","https://scholar.google.com/scholar?cites=5256461683410663546&as_sdt=2005&sciodt=2007&hl=en",7,"2024-11-27 10:37:00","","","","",,,,,1025,78.85,513,2,13,"In their recent commentary Takkouche and Norman1 seriously misrepresent the PRISMA guideline for reporting systematic reviews and meta-analyses. They state that PRISMA “…","https://journals.lww.com/epidem/_layouts/15/oaks.journals/downloadpdf.aspx?an=00001648-201101000-00023","https://scholar.google.com/scholar?q=related:evgkFw208kgJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
43,"…, J Tetzlaff, DG Altman, PRISMA Group","系统综述和荟萃分析优先报告的条目: PRISMA 声明",2009,"Journal of Integrative …","jcimjournal.com","http://www.jcimjournal.com/EN/abstract/abstract1309.shtml","https://scholar.google.com/scholar?cites=17956205826866278809&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-27 10:37:00","","","","",,,,,43,2.87,11,4,15,"… 能支持PRISMA,可以通 过在PRISMA网页… 《PRISMA声明》的期刊在作者须知 中引用该声明,并 将PRISMA网站的网址加入期刊 的作者须知中去.同时我们也邀请相关的编辑组织 考虑对PRISMA…","http://www.jcimjournal.com/CN/article/downloadArticleFile.do?attachType=PDF&id=1309","https://scholar.google.com/scholar?q=related:mfEpQBBCMfkJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
80,"C Galeazzi, A Sacchetti, A Cisbani…","The PRISMA program",2008,"IGARSS 2008-2008 …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/4779667/","https://scholar.google.com/scholar?cites=358992566069205340&as_sdt=2005&sciodt=2007&hl=en",9,"2024-11-27 10:37:00","","","","",,,,,80,5.00,20,4,16,"In the framework of its activities in the field of Earth Observation, the Italian Space Agency (ASI) in 2007 have started the design, development and deployment of the PRISMA mission. …","https://ieeexplore.ieee.org/iel5/4757194/4779630/04779667.pdf","https://scholar.google.com/scholar?q=related:XJmPOdZl-wQJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
540,"AA Selçuk","A guide for systematic reviews: PRISMA",2019,"Turkish archives of otorhinolaryngology","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461330/","https://scholar.google.com/scholar?cites=3980179760052508593&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:37:00","HTML","","","",,,,,540,108.00,540,1,5,"… by the PRISMA group that gives examples to a systematic review in line with the guidelines, as well as detailed explanations and descriptions (8). All content related to the PRISMA …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6461330/","https://scholar.google.com/scholar?q=related:sRchZGdwPDcJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22%E4%BC%98%E5%85%88%E6%8A%A5%E5%91%8A%E6%9D%A1%E7%9B%AE%22&hl=en&as_sdt=2007"
