Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
21254,"D Moher, L Shamseer, M Clarke, D Ghersi, A Liberati…","Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015 statement",2015,"Systematic reviews","Springer","https://link.springer.com/article/10.1186/2046-4053-4-1","https://scholar.google.com/scholar?cites=17703042528107474191&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:01:02","HTML","10.1186/2046-4053-4-1","","",,,,,21254,2361.56,3542,6,9,"… We describe the development of a reporting guideline, the Preferred Reporting Items for Systematic reviews and Meta-Analyses for Protocols 2015 (PRISMA-P 2015). PRISMA-P …","https://link.springer.com/article/10.1186/2046-4053-4-1","https://scholar.google.com/scholar?q=related:D616c2LXrfUJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
12568,"L Shamseer, D Moher, M Clarke, D Ghersi, A Liberati…","Preferred reporting items for systematic review and meta-analysis protocols (PRISMA-P) 2015: elaboration and explanation",2015,"Bmj","bmj.com","https://www.bmj.com/content/349/bmj.G7647.abstract","https://scholar.google.com/scholar?cites=12815720499468935333&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:01:02","","","","",,,,,12568,1396.44,2095,6,9,"Protocols of systematic reviews and meta-analyses allow for planning and documentation of review methods, act as a guard against arbitrary decision making during review conduct, …","https://www.bmj.com/content/bmj/349/bmj.g7647.full.pdf","https://scholar.google.com/scholar?q=related:paCJx-SV2rEJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
375,"RE O'Dea, M Lagisz, MD Jennions…","Preferred reporting items for systematic reviews and meta‐analyses in ecology and evolutionary biology: a PRISMA extension",2021,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12721","https://scholar.google.com/scholar?cites=4658083086918633220&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:01:02","","10.1111/brv.12721","","",,,,,375,125.00,94,4,3,"… The leading guideline for improving reporting quality of systematic reviews is the Preferred Reporting Items for Systematic reviews and Meta‐Analyses (PRISMA) statement. Here we …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/brv.12721","https://scholar.google.com/scholar?q=related:BEcKUuPVpEAJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
11560,"D Moher, A Liberati, J Tetzlaff, DG Altman…","Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement",2010,"International journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1743919110000403","https://scholar.google.com/scholar?cites=12029221897513813898&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:01:02","HTML","","","",,,,,11560,825.71,2312,5,14,"… In this article, we summarize a revision of these guidelines, renamed PRISMA (preferred reporting items for systematic reviews and meta-analyses), which have been updated to …","https://www.sciencedirect.com/science/article/pii/S1743919110000403","https://scholar.google.com/scholar?q=related:ikepDZVh8KYJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
1920,"LA Stewart, M Clarke, M Rovers, RD Riley…","Preferred reporting items for a systematic review and meta-analysis of individual participant data: the PRISMA-IPD statement",2015,"Jama","jamanetwork.com","https://jamanetwork.com/journals/jama/article-abstract/2279718","https://scholar.google.com/scholar?cites=10966355852210310520&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-27 10:01:02","","","","",,,,,1920,213.33,384,5,9,"Importance Systematic reviews and meta-analyses of individual participant data (IPD) aim to collect, check, and reanalyze individual-level data from all studies addressing a particular …","https://jamanetwork.com/journals/jama/articlepdf/2279718/jsc150002.pdf","https://scholar.google.com/scholar?q=related:eI2Fm4tSMJgJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
187,"M Vrabel","Preferred reporting items for systematic reviews and meta-analyses",2015,"Number 5/September 2015","onf.ons.org","http://onf.ons.org/onf/42/5/preferred-reporting-items-systematic-reviews-and-meta-analyses","https://scholar.google.com/scholar?cites=16775426357303737038&as_sdt=2005&sciodt=2007&hl=en",6,"2024-11-27 10:01:02","","","","",,,,,187,20.78,187,1,9,"The number of systematic reviews in the literature has increased substantially to include “umbrella reviews”(Conn &Coon Sells, 2014) and systematic reviews of systematic reviews (…","http://onf.ons.org/system/files/journal-article-pdfs/spMethodsSept2015.pdf","https://scholar.google.com/scholar?q=related:znrQVmRJzugJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
684,"MJ Page, D Moher","Evaluations of the uptake and impact of the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) Statement and extensions: a …",2017,"Systematic reviews","Springer","https://link.springer.com/article/10.1186/s13643-017-0663-8","https://scholar.google.com/scholar?cites=14167972484157836478&as_sdt=2005&sciodt=2007&hl=en",7,"2024-11-27 10:01:02","HTML","10.1186/s13643-017-0663-8","","",,,,,684,97.71,342,2,7,"Background The PRISMA Statement is a reporting guideline designed to improve transparency of systematic reviews (SRs) and meta-analyses. Seven extensions to the PRISMA …","https://link.springer.com/article/10.1186/s13643-017-0663-8","https://scholar.google.com/scholar?q=related:voy8wei_nsQJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
764,"K Knobloch, U Yoon, PM Vogt","Preferred reporting items for systematic reviews and meta-analyses (PRISMA) statement and publication bias",2011,"Journal of Cranio-Maxillofacial Surgery","Elsevier","https://www.sciencedirect.com/science/article/pii/S1010518210002180","https://scholar.google.com/scholar?cites=10550421765073261453&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-27 10:01:02","HTML","","","",,,,,764,58.77,255,3,13,"Publication bias is a major problem in evidence based medicine. As well as positive outcome studies being preferentially published or followed by full text publication authors are also …","https://www.sciencedirect.com/science/article/pii/S1010518210002180","https://scholar.google.com/scholar?q=related:jdO9YbKgapIJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
888,"N Panic, E Leoncini, G de Belvis, W Ricciardi, S Boccia","Evaluation of the endorsement of the preferred reporting items for systematic reviews and meta-analysis (PRISMA) statement on the quality of published …",2013,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083138","https://scholar.google.com/scholar?cites=4430312825284566368&as_sdt=2005&sciodt=2007&hl=en",9,"2024-11-27 10:01:02","HTML","","","",,,,,888,80.73,178,5,11,"Introduction PRISMA statement was published in 2009 in order to set standards in the reporting of systematic reviews and meta-analyses. Our aim was to evaluate the impact of PRISMA …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0083138","https://scholar.google.com/scholar?q=related:YJ3xsgqiez0J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
132678,"D Moher, A Liberati, J Tetzlaff, DG Altman…","Preferred reporting items for systematic reviews and meta-analyses: the PRISMA statement",2009,"Annals of internal …","acpjournals.org","https://www.acpjournals.org/doi/abs/10.7326/0003-4819-151-4-200908180-00135","https://scholar.google.com/scholar?cites=5335525499313988149&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:01:02","","10.7326/0003-4819-151-4-200908180-00135","","",,,,,132678,8845.20,26536,5,15,"Moher and colleagues introduce PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses), an update of the QUOROM guidelines for reporting systematic …","https://www.acpjournals.org/doi/full/10.7326/0003-4819-151-4-200908180-00135?journalCode=aim","https://scholar.google.com/scholar?q=related:NSKmPCyYC0oJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
2430,"MDF McInnes, D Moher, BD Thombs, TA McGrath…","Preferred reporting items for a systematic review and meta-analysis of diagnostic test accuracy studies: the PRISMA-DTA statement",2018,"Jama","jamanetwork.com","https://jamanetwork.com/journals/jama/article-abstract/2670259","https://scholar.google.com/scholar?cites=5616175526521924610&as_sdt=2005&sciodt=2007&hl=en",11,"2024-11-27 10:01:02","","","","",,,,,2430,405.00,486,5,6,"… Findings This diagnostic test accuracy guideline is an extension of the original Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement. Two PRISMA …","https://jamanetwork.com/journals/jama/articlepdf/2670259/jama_McInnes_2018_sc_170005.pdf","https://scholar.google.com/scholar?q=related:AuyUtuKp8E0J:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
31,"J Helbach, F Hoffmann, D Pieper, K Allers","Reporting according to the preferred reporting items for systematic reviews and meta-analyses for abstracts (PRISMA-A) depends on abstract length",2023,"Journal of Clinical …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0895435622003432","https://scholar.google.com/scholar?cites=18061927272548334060&as_sdt=2005&sciodt=2007&hl=en",12,"2024-11-27 10:01:02","HTML","","","",,,,,31,31.00,8,4,1,"Objective To evaluate reporting of abstracts of systematic reviews according to the preferred reporting items for systematic reviews and meta-analyses for abstracts (PRISMA-A) 2013 …","https://www.sciencedirect.com/science/article/pii/S0895435622003432","https://scholar.google.com/scholar?q=related:7PkufyjbqPoJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
160,"DV Parums","Review articles, systematic reviews, meta-analysis, and the updated preferred reporting items for systematic reviews and meta-analyses (PRISMA) 2020 …",2021,"… science monitor: international medical journal of …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8394590/","https://scholar.google.com/scholar?cites=8905000988655008555&as_sdt=2005&sciodt=2007&hl=en",13,"2024-11-27 10:01:02","HTML","","","",,,,,160,53.33,160,1,3,"Subjective narrative review articles have an educational and informative role in medical and scientific journals. Systematic review of the literature requires an objective and complete …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8394590/","https://scholar.google.com/scholar?q=related:K7tI7TfrlHsJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
461,"JP Salameh, PM Bossuyt, TA McGrath, BD Thombs…","Preferred reporting items for systematic review and meta-analysis of diagnostic test accuracy studies (PRISMA-DTA): explanation, elaboration, and checklist",2020,"bmj","bmj.com","https://www.bmj.com/CONTENT/370/BMJ.M2632.abstract","https://scholar.google.com/scholar?cites=7752766887470729197&as_sdt=2005&sciodt=2007&hl=en",14,"2024-11-27 10:01:02","","","","",,,,,461,115.25,92,5,4,"… An extension of the PRISMA (preferred reporting items for systematic review and metaanalysis) statement was recently developed to improve the reporting quality of DTA systematic …","https://www.bmj.com/content/bmj/370/bmj.m2632.full.pdf","https://scholar.google.com/scholar?q=related:7Ycagmhcl2sJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
38,"WWS Tam, A Tang, B Woo, SYS Goh","Perception of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement of authors publishing reviews in nursing journals: a cross …",2019,"BMJ open","bmjopen.bmj.com","https://bmjopen.bmj.com/content/9/4/e026271.abstract","https://scholar.google.com/scholar?cites=2623814691328158899&as_sdt=2005&sciodt=2007&hl=en",15,"2024-11-27 10:01:02","","","","",,,,,38,7.60,10,4,5,"Objective The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement has been developed as a guideline for reporting systematic reviews and meta-…","https://bmjopen.bmj.com/content/bmjopen/9/4/e026271.full.pdf","https://scholar.google.com/scholar?q=related:s-wQaY-paSQJ:scholar.google.com/&scioq=intitle:prisma%7Cintitle:%22preferred+reporting+items%22&hl=en&as_sdt=2007"
