Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
63,"B Błażejewska-Hyżorek…","Wytyczne postępowania w udarze mózgu",2019,"Polski Przegląd …","journals.viamedica.pl","https://journals.viamedica.pl/polski_przeglad_neurologiczny/article/view/63655","https://scholar.google.com/scholar?cites=1496045304126136887&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:42:35","","","","",,,,,63,12.60,32,2,5,"… Wytyczne dla autorów … Wytyczne postępowania w udarze mózgu … Wytyczne postępowania w udarze mózgu …","","https://scholar.google.com/scholar?q=related:N2JUGEcFwxQJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
21,"L Kapka-Skrzypczak, M Cyranka, P Kulpa…","Dopalacze-stan aktualny i wytyczne na przyszłość",2011,"Medycyna Ogólna i …","bibliotekanauki.pl","https://bibliotekanauki.pl/articles/4568.pdf","https://scholar.google.com/scholar?cites=5331155368699263529&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:42:35","PDF","","","",,,,,21,1.62,5,4,13,"Dopalacze (z ang. legal highs, smarts, designer drugs) stanowią problem społeczny i zdrowotny dotykający szczególnie populacji młodych ludzi w wieku od 15 do 24 lat. W składzie …","https://bibliotekanauki.pl/articles/4568.pdf","https://scholar.google.com/scholar?q=related:KXq86Y8R_EkJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
15,"J Kubica, RJ Gil, P Odrowąż-Pieniążek","Wytyczne dotyczące koronarografii",2005,"Kardiologia Polska= Polish …","ruj.uj.edu.pl","https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/165744/kubica_gil_pieniazek_wytyczne_dotyczace_koronarografii_2005.pdf?sequence=1","https://scholar.google.com/scholar?cites=17878757386007075593&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:42:35","PDF","","","",,,,,15,0.79,5,3,19,"Próby uwidaczniania tętnic wieńcowych poprzez nieselektywne podawanie środków cieniujących do aorty podejmowano już w latach 40. XX w.[1]. Przełom nastąpił pod koniec lat 50., …","https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/165744/kubica_gil_pieniazek_wytyczne_dotyczace_koronarografii_2005.pdf?sequence=1","https://scholar.google.com/scholar?q=related:CdtX6h0bHvgJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
158,"P Ponikowski, AA Voors, SD Anker…","Wytyczne ESC dotyczace diagnostyki i leczenia ostrej i przewlekłej niewydolności serca w 2016 roku",2016,"Kardiologia …","research.monash.edu","https://research.monash.edu/en/publications/wytyczne-esc-dotyczace-diagnostyki-i-leczenia-ostrej-i-przewlek%C5%82e","https://scholar.google.com/scholar?cites=2107859639063448305&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:42:35","","","","",,,,,158,19.75,40,4,8,"… te wytyczne ESC, gdy dokonują oceny klinicznej, a także kiedy określają i realizują medyczne strategie prewencji, diagnostyki lub leczenia. Wytyczne … Wytyczne ESC nie zwalniają też …","https://research.monash.edu/files/177528901/52152468_oa.pdf","https://scholar.google.com/scholar?q=related:8YrCfiyfQB0J:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
59,"AOT Medycznych","Wytyczne oceny technologii medycznych",2009,"","aotm.gov.pl","https://www.aotm.gov.pl/wp-content/uploads/2022/04/Wytyczne-Oceny-Technologii-Medycznych.-Wyroby-medyczne-czesc-I.pdf","https://scholar.google.com/scholar?cites=7169831231887279727&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-27 10:42:35","PDF","","","",,,,,59,3.93,59,1,15,"Wyroby medyczne stanowią jeden z najbardziej istotnych elementów profilaktyki, diagnostyki oraz leczenia. Obejmują bardzo szeroką i niezwykle różnorodną grupę produktów, …","https://www.aotm.gov.pl/wp-content/uploads/2022/04/Wytyczne-Oceny-Technologii-Medycznych.-Wyroby-medyczne-czesc-I.pdf","https://scholar.google.com/scholar?q=related:b4YknIRbgGMJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
58,"B Williams, G Mancia, W Spiering…","Wytyczne ESC/ESH dotyczące postępowania w nadciśnieniu tętniczym (2018)",2018,"… Tętnicze w Praktyce","journals.viamedica.pl","https://journals.viamedica.pl/nadcisnienie_tetnicze_w_praktyce/article/view/63255","https://scholar.google.com/scholar?cites=14005225982365137196&as_sdt=2005&sciodt=2007&hl=en",6,"2024-11-27 10:42:35","","","","",,,,,58,9.67,15,4,6,"… wytyczne, dokonując oceny klinicznej, a także określając i realizując medyczne strategie prewencji, diagnostyki lub leczenia. Wytyczne … Wytyczne ESC nie zwalniają też pracowników …","https://journals.viamedica.pl/nadcisnienie_tetnicze_w_praktyce/article/download/63255/47620","https://scholar.google.com/scholar?q=related:LPnx_dOOXMIJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
57,"A Nawrocka, M Łukomska-Szymańska","… on proper preservation: a literature review Zastosowanie usuniętych zębów ludzkich w badaniach naukowych. Wytyczne dotyczące przechowywania próbek …",2019,"Dent Med Probl","publicum.umed.lodz.pl","https://publicum.umed.lodz.pl/docstore/download/AML5bf3fa43db174d4fb965e1fece9222dd/extracted+teeth.pdf","https://scholar.google.com/scholar?cites=8635121997720893067&as_sdt=2005&sciodt=2007&hl=en",7,"2024-11-27 10:42:35","PDF","","","",,,,,57,11.40,29,2,5,"Laboratory research in dentistry and dental education use extracted human teeth as a model for simulation for ex vivo procedures. Human-borne tissues are the first choice of material …","https://publicum.umed.lodz.pl/docstore/download/AML5bf3fa43db174d4fb965e1fece9222dd/extracted+teeth.pdf","https://scholar.google.com/scholar?q=related:i7ZQwrQd1ncJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
43,"A Jawień, MT Szewczyk, A Kaszuba…","Wytyczne Grupy Ekspertów w sprawie gojenia owrzodzeń żylnych goleni.",2011,"Leczenie …","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17334101&AN=83239379&h=CP2tw6a2lGb4%2BbWiy8N9dTp1g3s5iCz3GcJ%2BEcG90pH9aHD0wKTW1dOMysOGLuKnxaIXxcjcs%2BEJ%2BidGHvwcSQ%3D%3D&crl=c","https://scholar.google.com/scholar?cites=7729570165977264865&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-27 10:42:35","","","","",,,,,43,3.31,11,4,13,"Owrzodzenia żylne goleni występują u około 1% dorosłej populacji, stanowiąc istotną przyczynę niesprawności, obniżonej jakości życia i znacznych kosztów opieki medycznej. …","","https://scholar.google.com/scholar?q=related:4TKI6RzzRGsJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
35,"J Mazurek, A Blaszkowska, J Rymaszewska","Rehabilitacja po udarze mózgu–aktualne wytyczne",2013,"Nowiny Lekarskie","researchgate.net","https://www.researchgate.net/profile/Justyna-Mazurek/publication/305651078_REHABILITATION_AFTER_STROKE_-_CURRENT_GUIDELINES/links/58b85ee145851591c5d7fd02/REHABILITATION-AFTER-STROKE-CURRENT-GUIDELINES.pdf","https://scholar.google.com/scholar?cites=18228569503216606075&as_sdt=2005&sciodt=2007&hl=en",9,"2024-11-27 10:42:35","PDF","","","",,,,,35,3.18,12,3,11,"Artykuł jest próbą całościowego opracowania zagadnienia postępowania rehabilitacyjnego w udarze mózgu (UM) według aktualnych zaleceń European Stroke Organization oraz …","https://www.researchgate.net/profile/Justyna-Mazurek/publication/305651078_REHABILITATION_AFTER_STROKE_-_CURRENT_GUIDELINES/links/58b85ee145851591c5d7fd02/REHABILITATION-AFTER-STROKE-CURRENT-GUIDELINES.pdf","https://scholar.google.com/scholar?q=related:e5u-UmLj-PwJ:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
57,"AL Catapano, I Graham, G De Backer, O Wiklund…","Wytyczne ESC/EAS dotyczace leczenia zaburzeń lipidowych w 2016 roku",2016,"Kardiologia …","air.unimi.it","https://air.unimi.it/bitstream/2434/514859/2/11036-36162-3-PB.pdf","https://scholar.google.com/scholar?cites=2299458692718331514&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:42:35","PDF","","","",,,,,57,7.13,11,5,8,"… te wytyczne ESC, gdy dokonują oceny klinicznej, a także kiedy określają i realizują medyczne strategie prewencji, diagnostyki lub leczenia. Wytyczne … Wytyczne ESC nie zwalniają też …","https://air.unimi.it/bitstream/2434/514859/2/11036-36162-3-PB.pdf","https://scholar.google.com/scholar?q=related:egYpe39R6R8J:scholar.google.com/&scioq=intitle:%22prisma+standardy%22%7Cintitle:wytyczne&hl=en&as_sdt=2007"
