Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
406,"MJ Page, JE McKenzie, PM Bossuyt…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2023,"… de salud publica","SciELO Public Health","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?cites=8291070616290827547&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:44:26","HTML","","","",,,,,406,406.00,102,4,1,"A declaração dos Principais Itens para Relatar Revisões Sistemáticas e Meta-análises (PRISMA), publicada em 2009, foi desenvolvida para ajudar revisores sistemáticos a relatar de …","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?q=related:G52xK8zMD3MJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
22,"TF Galvão, GMB Tiguman…","A declaração PRISMA 2020 em português: recomendações atualizadas para o relato de revisões sistemáticas",2022,"… e serviços de saúde","SciELO Public Health","https://www.scielosp.org/article/ress/2022.v31n2/e2022364/","https://scholar.google.com/scholar?cites=698248237382506754&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:44:26","HTML","","","",,,,,22,11.00,7,3,2,"SciELO - Saúde Pública - A declaração PRISMA 2020 em português: recomendações atualizadas para o relato de revisões sistemáticas A declaração PRISMA 2020 em português: …","https://www.scielosp.org/article/ress/2022.v31n2/e2022364/","https://scholar.google.com/scholar?q=related:Ahk6ihKtsAkJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
2095,"TF Galvão, TSA Pansani…","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA",2015,"Epidemiologia e serviços …","SciELO Public Health","https://www.scielosp.org/article/ssm/content/raw/?resource_ssm_path=/media/assets/ress/v24n2/2237-9622-ress-24-02-00335.pdf","https://scholar.google.com/scholar?cites=11846655092229282730&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:44:26","PDF","","","",,,,,2095,232.78,698,3,9,"Revisões sistemáticas e meta-análises se tornaram extremamente importantes na assistência à saúde. Clínicos as leem para se manterem atualizados em suas áreas, 1, 2 e elas são …","https://www.scielosp.org/article/ssm/content/raw/?resource_ssm_path=/media/assets/ress/v24n2/2237-9622-ress-24-02-00335.pdf","https://scholar.google.com/scholar?q=related:qhvmRArGZ6QJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
2,"M Page, J McKenzie, P Bossuyt…","Declaração PRISMA 2020: uma diretriz atualizada para publicação de revisões sistemáticas",2024,"… do Instituto Piaget","germinare.ipiaget.org","https://germinare.ipiaget.org/index.php/germinare/article/view/210","https://scholar.google.com/scholar?cites=5538823497731308655&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:44:26","","","","",,,,,2,2.00,1,4,1,"… A declaração PRISMA 2020 substitui a declaração de 2009 e inclui novas orientações que refletem os avanços nos métodos para identificar, selecionar, avaliar e sintetizar estudos. A …","https://germinare.ipiaget.org/index.php/germinare/article/download/210/22","https://scholar.google.com/scholar?q=related:b3zcD6Da3UwJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
0,"CLM Lourenço","A DECLARAÇÃO PRISMA 2020: UM INSTRUMENTO PARA O RELATO ADEQUADO DE REVISÕES SISTEMÁTICAS COM EXEMPLOS COMENTADOS",2024,"Cenas Educacionais","revistas.uneb.br","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/view/16241","",5,"2024-11-27 10:44:26","","","","",,,,,0,0.00,0,1,1,"… , detalhadamente, a declaração PRISMA 2020, suas sete … A declaração PRISMA 2020 consiste numa lista de verificação de … autores que cumprem a declaração PRISMA 2020 têm mais …","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458","https://scholar.google.com/scholar?q=related:GI7eg7IQwwQJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
0,"ADEIDER SISTEMÁTICAS","A DECLARAÇÃO PRISMA 2020: UM INSTRUMENTO PARA O RELATO ADEQUADO DE REVISÕES SISTEMÁTICAS COM EXEMPLOS COMENTADOS",,"revistas.uneb.br","","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458/64956","",6,"2024-11-27 10:44:26","PDF","","","",,,,,0,0.00,0,1,,"… , detalhadamente, a declaração PRISMA 2020, suas sete … A declaração PRISMA 2020 consiste numa lista de verificação de … autores que cumprem a declaração PRISMA 2020 têm mais …","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458/64956","https://scholar.google.com/scholar?q=related:x0_T4epprSYJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
0,"D Mavridis, A Nikolakopoulou, I Moustaki, A Chaimani…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2023,"","agris.fao.org","https://agris.fao.org/search/en/providers/122439/records/65a941404ddf7c0cd7c9cd39","",7,"2024-11-27 10:44:26","","","","",,,,,0,0.00,0,5,1,"Considering multiple outcomes with different weights informed the hierarchy of interventions in network meta-analysis | A declaração PRISMA 2020: diretriz atualizada para relatar …","","https://scholar.google.com/scholar?q=related:bONyRB9LAwgJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
128,"MJ Page, JE McKenzie, PM Bossuyt, I Boutron…","A declaração PRISMA 2020: uma diretriz atualizada para relatórios revisões sistemáticas",2021,"BMJ [Internet]","","","https://scholar.google.com/scholar?cites=2956998389326356082&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-27 10:44:26","CITATION","","","",,,,,128,42.67,26,5,3,"","","https://scholar.google.com/scholar?q=related:ch4zRV5eCSkJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
55,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol Serv Saúde [Internet]. 2015; 24 (2): 335–42",,"","","","https://scholar.google.com/scholar?cites=1204907203681163645&as_sdt=2005&sciodt=2007&hl=en",9,"2024-11-27 10:44:26","CITATION","","","",,,,,55,0.00,18,3,,"","","https://scholar.google.com/scholar?q=related:fZm5xrewuBAJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
32,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol Serv Saúde. 2015; 24 (2): 335-42",,"","","","https://scholar.google.com/scholar?cites=4789518462974821180&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:44:26","CITATION","","","",,,,,32,0.00,11,3,,"","","https://scholar.google.com/scholar?q=related:PAPKhqrJd0IJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
24,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar revisões sistemáticas e meta-análises: a recomendação PRISMA. Epidemiol Serv Saude. 2015; 24 (2): 335-42",,"","","","https://scholar.google.com/scholar?cites=4606420406998026728&as_sdt=2005&sciodt=2007&hl=en",11,"2024-11-27 10:44:26","CITATION","","","",,,,,24,0.00,8,3,,"","","https://scholar.google.com/scholar?q=related:6Ek6TfRK7T8J:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
18,"A Liberati, DG Altman, J Tetzlaff, C Mulrow…","A declaração PRISMA para relatar revisões sistemáticas e meta-análises de estudos que avaliam intervenções de saúde: explicação e elaboração",2009,"PLoS Med","","","https://scholar.google.com/scholar?cites=18084379411194307124&as_sdt=2005&sciodt=2007&hl=en",12,"2024-11-27 10:44:26","CITATION","","","",,,,,18,1.20,4,5,15,"","https://scholar.google.com/scholar?output=instlink&q=info:NOKfY0Kf-PoJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=2587277528069877874&oi=lle","https://scholar.google.com/scholar?q=related:NOKfY0Kf-PoJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
0,"L Kwakkenbos, ME Carrier, J Welling, B Levis, A Levis…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2022,"","agris.fao.org","https://agris.fao.org/search/en/providers/122439/records/65a941934ddf7c0cd7c9ce95","",13,"2024-11-27 10:44:26","","","","",,,,,0,0.00,0,6,2,"English. Abstract Background Systemic sclerosis (scleroderma; SSc) is a rare autoimmune connective tissue disease. Functional impairment of hands is common. The Scleroderma …","","https://scholar.google.com/scholar?q=related:p_voUw-ob2EJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
11,"D Moher, A Liberati, J Tetzlaff, DG Altman","Principais itens para relatar revisões sistemáticas e meta-análises: A recomendação PRISMA. Epidemiol Serv Saúde 2015; 24 (2): 335–42",,"","","","https://scholar.google.com/scholar?cites=9111243345669639889&as_sdt=2005&sciodt=2007&hl=en",14,"2024-11-27 10:44:26","CITATION","","","",,,,,11,0.00,3,4,,"","","https://scholar.google.com/scholar?q=related:0c7HqIyjcX4J:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
11,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol. Serv. Saúde, 24 (2), 335-342",2015,"","","","https://scholar.google.com/scholar?cites=13850758974952784049&as_sdt=2005&sciodt=2007&hl=en",15,"2024-11-27 10:44:26","CITATION","","","",,,,,11,1.22,4,3,9,"","","https://scholar.google.com/scholar?q=related:sUCdO-fHN8AJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
11,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar Revisões sistemáticas e meta-análises: a recomendação PRISMA. Epidemiol Serviços Saúde. 2015; 24: 335-42",,"","","","https://scholar.google.com/scholar?cites=18415073467341446452&as_sdt=2005&sciodt=2007&hl=en",16,"2024-11-27 10:44:26","CITATION","","","",,,,,11,0.00,4,3,,"","","https://scholar.google.com/scholar?q=related:NJ2bVcB7j_8J:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
7,"D Moher, A Liberati, J Tetzlaff, DG Altman","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol Serv Saude. 2015; 24 (2): 335-42",,"","","","https://scholar.google.com/scholar?cites=15076620282632338000&as_sdt=2005&sciodt=2007&hl=en",17,"2024-11-27 10:44:26","CITATION","","","",,,,,7,0.00,2,4,,"","","https://scholar.google.com/scholar?q=related:UPq_h0TqOtEJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
7,"TF Galvão, TSA Pansani, D Harrad","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol Serv Saúde 2015; 24: 335-42",2020,"The Lancet Neurology","","","https://scholar.google.com/scholar?cites=7883675104958998388&as_sdt=2005&sciodt=2007&hl=en",18,"2024-11-27 10:44:26","CITATION","","","",,,,,7,1.75,2,3,4,"","https://scholar.google.com/scholar?output=instlink&q=info:dOerC71waG0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=17690681015496776535&oi=lle","https://scholar.google.com/scholar?q=related:dOerC71waG0J:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
32,"D Moher","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA* Epidemiol",2015,"Serv. Saúde","","","https://scholar.google.com/scholar?cites=7442328729838863463&as_sdt=2005&sciodt=2007&hl=en",19,"2024-11-27 10:44:26","CITATION","","","",,,,,32,3.56,32,1,9,"","","https://scholar.google.com/scholar?q=related:Z8S6c4x2SGcJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
5,"P Itens, R Revis, P Uma","Principais itens para relatar Revisões sistemáticas e Meta-análises: A recomendação PRISMA. Epidemiol e Serviços Saúde 2015; 24 (2): 335-42",,"","","","https://scholar.google.com/scholar?cites=8812919543286964094&as_sdt=2005&sciodt=2007&hl=en",20,"2024-11-27 10:44:26","CITATION","","","",,,,,5,0.00,2,3,,"","","https://scholar.google.com/scholar?q=related:fp-3u6HHTXoJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
6,"D Moher, A Liberati, J Tetzlaff, DG Altman","Principais itens para relatar Revisões sistemáticas e Meta-análises: a recomendação PRISMA. Epidemiol Serv Saúde [Internet]. 2015 [Cited set 2019]; 24 …",,"","","","https://scholar.google.com/scholar?cites=3083763699660594643&as_sdt=2005&sciodt=2007&hl=en",21,"2024-11-27 10:44:26","CITATION","","","",,,,,6,0.00,2,4,,"","","https://scholar.google.com/scholar?q=related:052DEb-6yyoJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
5,"D Moher, A Liberati, J Tetzlaff, DG Altman","Grupo PRISMA. Itens de relato preferidos para revisões sistemáticas e meta-análises: a declaração PRISMA",2009,"BMJ","","","https://scholar.google.com/scholar?cites=15487671093344046347&as_sdt=2005&sciodt=2007&hl=en",22,"2024-11-27 10:44:26","CITATION","","","",,,,,5,0.33,1,4,15,"","","https://scholar.google.com/scholar?q=related:C43bXM1C79YJ:scholar.google.com/&scioq=intitle:declara%C3%A7%C3%A3o%7Cintitle:%22diretriz+prisma%22%7Cintitle:%22principais+itens+para+relatar%22&hl=en&as_sdt=2007"
