Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
11,"НА Антонова","Дью Дилидженс: контрольный список вопросов для проведения экспертизы чистоты сделки при инвестировании",2015,"Вестник Адыгейского государственного …","cyberleninka.ru","https://cyberleninka.ru/article/n/dyu-dilidzhens-kontrolnyy-spisok-voprosov-dlya-provedeniya-ekspertizy-chistoty-sdelki-pri-investirovanii","https://scholar.google.com/scholar?cites=13731288011014045048&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:41:10","HTML","","","",,,,,11,1.22,11,1,9,"В статье представлен концепт оптимального набора информации, необходимый для проведения эффективного дью дилидженс в России; описывается авторский подход к …","https://cyberleninka.ru/article/n/dyu-dilidzhens-kontrolnyy-spisok-voprosov-dlya-provedeniya-ekspertizy-chistoty-sdelki-pri-investirovanii","https://scholar.google.com/scholar?q=related:eH0SzbFVj74J:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
5,"МВ Тимербулатов…","Контрольный список ВОЗ предупреждения хирургических осложнений: сравнительный анализ двух клиник",2021,"Вестник …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/658a/8b073c147cc5f3e16756d85ee9751c2c2be7.pdf","https://scholar.google.com/scholar?cites=3630121570502049638&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:41:10","PDF","","","",,,,,5,1.67,3,2,3,"… Проведен сравнительный анализ показателей работы хирургических отделений двух клиник – где применялся контрольный список ВОЗ и во второй клинике, где …","https://pdfs.semanticscholar.org/658a/8b073c147cc5f3e16756d85ee9751c2c2be7.pdf","https://scholar.google.com/scholar?q=related:Zv9BzVXIYDIJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
7,"ДН Шлепнев","Общие методические принципы курса «Юридический перевод»: контрольный список",2020,"… ДИСКУРС: МЕЖДИСЦИПЛИНАРНЫЙ ПОДХОД","academia.edu","https://www.academia.edu/download/76136625/ShlepnevLegalTranslDidacticChecklist.pdf","https://scholar.google.com/scholar?cites=4533482409033706355&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:41:10","PDF","","","",,,,,7,1.75,7,1,4,"Юридический перевод должен несомненно входить в программу переводческой подготовки. В настоящей статье предпринята попытка предложить набор (контрольный список…","https://www.academia.edu/download/76136625/ShlepnevLegalTranslDidacticChecklist.pdf","https://scholar.google.com/scholar?q=related:c6vvSTsq6j4J:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
7,"ВВ Мартынов","Контрольный список пластинчатоусых жуков (Coleoptera: Scarabaeoidea) фауны Украины",2012,"Известия Харьковского энтомологического …","irbis-nbuv.gov.ua","http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/Vkhet_2012_20_2_5.pdf","https://scholar.google.com/scholar?cites=7706236446174355294&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:41:10","PDF","","","",,,,,7,0.58,7,1,12,"На основании изучения всех доступных коллекционных материалов, личной сборов автора, проведенных во всех регионах Украины, и критического анализа информации в …","http://www.irbis-nbuv.gov.ua/cgi-bin/irbis_nbuv/cgiirbis_64.exe?C21COM=2&I21DBN=UJRN&P21DBN=UJRN&IMAGE_FILE_DOWNLOAD=1&Image_file_name=PDF/Vkhet_2012_20_2_5.pdf","https://scholar.google.com/scholar?q=related:Xh9k6TcN8moJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
4,"ДН Шлепнев","Юридический перевод: контрольный список руководящих принципов",2019,"… ДИСКУРС: МЕЖДИСЦИПЛИНАРНЫЙ ПОДХОД","elibrary.ru","https://elibrary.ru/download/elibrary_37400331_80846383.pdf","https://scholar.google.com/scholar?cites=6214876226926663717&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-27 10:41:10","","","","",,,,,4,0.80,4,1,5,"Задача настоящей статьи–составить перечень проблем и руководящих принципов юридического перевода. Речь идет не о списке действий и не об алгоритме работы, а, что …","https://www.academia.edu/download/76136485/ShlepnevLegalTranslChecklist.pdf","https://scholar.google.com/scholar?q=related:Jdj7JACtP1YJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
0,"С Нагрузка","Контрольный список",,"Учитель","65school.ru","http://65school.ru/wp-content/uploads/%D0%9A%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%B8-%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C-2018.pdf","",6,"2024-11-27 10:41:10","PDF","","","",,,,,0,0.00,0,1,,"Институт повышения квалификации и развития образования г. Ханты-Мансийск 2005 Югорский государственный университет 2006 Институт повышения квалификации и …","http://65school.ru/wp-content/uploads/%D0%9A%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D1%81%D0%BF%D0%B8%D1%81%D0%BA%D0%B8-%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C-2018.pdf","https://scholar.google.com/scholar?q=related:R_8Zyaj1juUJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
1,"ИА Николаева, ДВ Рудаков","Контрольный список как инструмент повышения экологической безопасности хвостохранилищ",2014,"","ir.nmu.org.ua","https://ir.nmu.org.ua/bitstream/handle/123456789/149795/190-198.pdf?sequence=1","https://scholar.google.com/scholar?cites=823914967609700860&as_sdt=2005&sciodt=2007&hl=en",7,"2024-11-27 10:41:10","PDF","","","",,,,,1,0.10,1,2,10,"Описывается суть и преимущества Контрольного списка хвостохранилищ. Данный документ включает список вопросов с унифицированными ответами, специальный порядок …","https://ir.nmu.org.ua/bitstream/handle/123456789/149795/190-198.pdf?sequence=1","https://scholar.google.com/scholar?q=related:_PGAOUwibwsJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
1,"Х Баутиста, АВ Джу, МР Мустафин","КОНТРОЛЬНЫЙ СПИСОК ПЛАНИРОВАНИЯ СОЦИАЛЬНО-ЭКОНОМИЧЕСКИХ МЕР И ВОССТАНОВЛЕНИЯ ТУРИЗМА, ВКЛЮЧАЯ ИНВАЛИДНОСТЬ",2020,"","elibrary.ru","https://elibrary.ru/item.asp?id=45731889","https://scholar.google.com/scholar?cites=14119520088057372497&as_sdt=2005&sciodt=2007&hl=en",8,"2024-11-27 10:41:10","","","","",,,,,1,0.25,0,3,4,"В статье рассматриваются минимальные требования по поддержке включения инвалидности в меры немедленного реагирования на COVID-19. Контрольный список может …","","https://scholar.google.com/scholar?q=related:Ud-mL7ac8sMJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
0,"ДХ Аминова","контрольный список педагогических работников",1979,"учитель","aslana.depon72.ru","http://aslana.depon72.ru/files/upload/EDU/School-52505/%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%20%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%92%D0%9E%D0%A0%D0%94.doc","",9,"2024-11-27 10:41:10","DOC","","","",,,,,0,0.00,0,1,45,"Муниципальное бюджетное общеобразовательное учреждение «Новоатьяловская средняя общеобразовательная школа» 627050, Тюменская обл., Ялуторовский р-н, с …","http://aslana.depon72.ru/files/upload/EDU/School-52505/%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9%20%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%20%D0%BF%D0%B5%D0%B4%D0%B0%D0%B3%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D1%85%20%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%BE%D0%B2%20%D0%92%D0%9E%D0%A0%D0%94.doc","https://scholar.google.com/scholar?q=related:gT7RUQFnwAQJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
1,"НМ Ковблюк, ВА Гнелица, АА Надольный…","Контрольный список пауков (Arachnida, Aranei) Карадагского природного заповедника",2015,"100 лет Карадагской …","elibrary.ru","https://elibrary.ru/item.asp?id=27547071","https://scholar.google.com/scholar?cites=11784143133800483267&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:41:10","","","","",,,,,1,0.11,0,4,9,"Приводится контрольный список 339 видов пауков, обнаруженных на Карадаге. В публикуемом здесь списке 30 видов впервые приводятся для Карадагского природного …","","https://scholar.google.com/scholar?q=related:w0mJwL6viaMJ:scholar.google.com/&scioq=intitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D1%81%D0%BF%D0%B8%D1%81%D0%BE%D0%BA%22%7Cintitle:%22%D0%BA%D0%BE%D0%BD%D1%82%D1%80%D0%BE%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9+%D0%BF%D0%B5%D1%80%D0%B5%D1%87%D0%B5%D0%BD%D1%8C%22&hl=en&as_sdt=2007"
