Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
153,"D Moher, L Shamseer, M Clarke, D Ghersi…","Ítems de referencia para publicar Protocolos de Revisiones Sistemáticas y Metaanálisis: Declaración PRISMA-P 2015",2016,"Revista Española de …","SciELO Espana","https://scielo.isciii.es/scielo.php?pid=S2174-51452016000200010&script=sci_arttext","https://scholar.google.com/scholar?cites=487594508229455808&as_sdt=2005&sciodt=2007&hl=en",1,"2024-11-27 10:48:20","HTML","","","",,,,,153,19.13,31,5,8,"Las revisiones sistemáticas deben establecerse sobre la base de un protocolo que describa la justificación, la hipótesis y los métodos planificados de la revisión, antes de su …","https://scielo.isciii.es/scielo.php?pid=S2174-51452016000200010&script=sci_arttext","https://scholar.google.com/scholar?q=related:wK9yMZ9IxAYJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
242,"D Moher, A Liberati, J Tetzlaff…","Ítems de referencia para publicar revisiones sistemáticas y metaanálisis: la Declaración PRISMA",2014,"Revista Española de …","dialnet.unirioja.es","https://dialnet.unirioja.es/descarga/articulo/4821653.pdf","https://scholar.google.com/scholar?cites=15760499599124093695&as_sdt=2005&sciodt=2007&hl=en",2,"2024-11-27 10:48:20","PDF","","","",,,,,242,24.20,61,4,10,"Las revisiones sistemáticas y metaanálisis se están convirtiendo en un tema cada vez más importante en el área de la salud. Los médicos leen este tipo de artículos para mantenerse …","https://dialnet.unirioja.es/descarga/articulo/4821653.pdf","https://scholar.google.com/scholar?q=related:_1p6-OGKuNoJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
406,"MJ Page, JE McKenzie, PM Bossuyt…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2023,"… de salud publica","SciELO Public Health","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?cites=8291070616290827547&as_sdt=2005&sciodt=2007&hl=en",3,"2024-11-27 10:48:20","HTML","","","",,,,,406,406.00,102,4,1,"SciELO - Saúde Pública - A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas A declaração PRISMA 2020: diretriz atualizada para relatar revisões …","https://www.scielosp.org/article/rpsp/2022.v46/e112/pt/","https://scholar.google.com/scholar?q=related:G52xK8zMD3MJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
22,"TF Galvão, GMB Tiguman…","A declaração PRISMA 2020 em português: recomendações atualizadas para o relato de revisões sistemáticas",2022,"… e serviços de saúde","SciELO Public Health","https://www.scielosp.org/article/ress/2022.v31n2/e2022364/","https://scholar.google.com/scholar?cites=698248237382506754&as_sdt=2005&sciodt=2007&hl=en",4,"2024-11-27 10:48:20","HTML","","","",,,,,22,11.00,7,3,2,"SciELO - Saúde Pública - A declaração PRISMA 2020 em português: recomendações atualizadas para o relato de revisões sistemáticas A declaração PRISMA 2020 em português: …","https://www.scielosp.org/article/ress/2022.v31n2/e2022364/","https://scholar.google.com/scholar?q=related:Ahk6ihKtsAkJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
2,"M Page, J McKenzie, P Bossuyt…","Declaração PRISMA 2020: uma diretriz atualizada para publicação de revisões sistemáticas",2024,"… do Instituto Piaget","germinare.ipiaget.org","https://germinare.ipiaget.org/index.php/germinare/article/view/210","https://scholar.google.com/scholar?cites=5538823497731308655&as_sdt=2005&sciodt=2007&hl=en",5,"2024-11-27 10:48:20","","","","",,,,,2,2.00,1,4,1,"… A declaração PRISMA 2020 substitui a declaração de 2009 e inclui novas orientações que refletem os avanços nos métodos para identificar, selecionar, avaliar e sintetizar estudos. A …","https://germinare.ipiaget.org/index.php/germinare/article/download/210/22","https://scholar.google.com/scholar?q=related:b3zcD6Da3UwJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
0,"CLM Lourenço","A DECLARAÇÃO PRISMA 2020: UM INSTRUMENTO PARA O RELATO ADEQUADO DE REVISÕES SISTEMÁTICAS COM EXEMPLOS COMENTADOS",2024,"Cenas Educacionais","revistas.uneb.br","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/view/16241","",6,"2024-11-27 10:48:20","","","","",,,,,0,0.00,0,1,1,"… , detalhadamente, a declaração PRISMA 2020, suas sete … A declaração PRISMA 2020 consiste numa lista de verificação de … autores que cumprem a declaração PRISMA 2020 têm mais …","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458","https://scholar.google.com/scholar?q=related:GI7eg7IQwwQJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
0,"D Mavridis, A Nikolakopoulou, I Moustaki, A Chaimani…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2023,"","agris.fao.org","https://agris.fao.org/search/en/providers/122439/records/65a941404ddf7c0cd7c9cd39","",7,"2024-11-27 10:48:20","","","","",,,,,0,0.00,0,5,1,"Considering multiple outcomes with different weights informed the hierarchy of interventions in network meta-analysis | A declaração PRISMA 2020: diretriz atualizada para relatar …","","https://scholar.google.com/scholar?q=related:bONyRB9LAwgJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
0,"ADEIDER SISTEMÁTICAS","A DECLARAÇÃO PRISMA 2020: UM INSTRUMENTO PARA O RELATO ADEQUADO DE REVISÕES SISTEMÁTICAS COM EXEMPLOS COMENTADOS",,"revistas.uneb.br","","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458/64956","",8,"2024-11-27 10:48:20","PDF","","","",,,,,0,0.00,0,1,,"… , detalhadamente, a declaração PRISMA 2020, suas sete … A declaração PRISMA 2020 consiste numa lista de verificação de … autores que cumprem a declaração PRISMA 2020 têm mais …","https://www.revistas.uneb.br/index.php/cenaseducacionais/article/download/16241/13458/64956","https://scholar.google.com/scholar?q=related:x0_T4epprSYJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
0,"L Kwakkenbos, ME Carrier, J Welling, B Levis, A Levis…","A declaração PRISMA 2020: diretriz atualizada para relatar revisões sistemáticas",2022,"","agris.fao.org","https://agris.fao.org/search/en/providers/122439/records/65a941934ddf7c0cd7c9ce95","",9,"2024-11-27 10:48:20","","","","",,,,,0,0.00,0,6,2,"English. Abstract Background Systemic sclerosis (scleroderma; SSc) is a rare autoimmune connective tissue disease. Functional impairment of hands is common. The Scleroderma …","","https://scholar.google.com/scholar?q=related:p_voUw-ob2EJ:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
4,"M Estarli, ES Aguilar Barrera, R Martínez-Rodríguez…","Ítems de referencia para publicar Protocolos de Revisiones Sistemáticas y Metaanálisis: Declaración PRISMA-P 2015. Rev Española Nutr Humana y …",,"","","","https://scholar.google.com/scholar?cites=18403713571779629237&as_sdt=2005&sciodt=2007&hl=en",10,"2024-11-27 10:48:20","CITATION","","","",,,,,4,0.00,1,4,,"","","https://scholar.google.com/scholar?q=related:tdD1ifwfZ_8J:scholar.google.com/&scioq=intitle:%22declara%C3%A7%C3%A3o+prisma%22%7Cintitle:%22%C3%ADtems+de+referencia%22&hl=en&as_sdt=2007"
